id,p1,p2,winner,score,turns,time
216280807,0,0,1,25,133,1857746
216280807,0,0,2,25,111,1592335
216280807,0,0,1,25,67,842195
216280807,0,0,1,25,76,1336731
216280807,0,0,2,25,86,1273911
216280807,0,0,1,29,100,1456224
216280807,0,0,1,27,135,1923395
216280807,0,0,2,25,117,1840524
216280807,0,0,2,25,127,1662200
216280807,0,0,2,25,74,1155418
216280807,0,0,2,25,60,933522
216280807,0,0,1,34,67,892142
216280806,0,0,2,25,121,1674298
216280806,0,0,2,32,33,503899
216280806,0,0,1,35,78,1215473
216280806,0,0,1,25,116,1923910
216280806,0,0,2,28,93,1378426
216280806,0,0,2,25,80,1221427
216280806,0,0,1,31,72,1291025
216280806,0,0,1,25,111,1585266
216280806,0,0,2,28,80,1178725
216280806,0,0,2,25,120,1598064
216280806,0,0,2,34,68,970456
216280806,0,0,2,27,79,1016853
216280806,0,0,1,25,77,1064822
216280806,0,0,2,25,133,2039434
216280806,0,0,2,25,67,914557
216280806,0,0,1,25,147,2165110
216280805,0,0,1,25,96,1290286
216280805,0,0,2,28,103,1334405
216280805,0,0,2,25,137,1796999
216280805,0,0,1,25,82,1550226
216280805,0,0,1,30,82,1197775
216280805,0,0,2,25,93,1266770
216280805,0,0,1,29,96,1314249
216280805,0,0,1,25,96,1318904
216280805,0,0,2,25,99,1287692
216280805,0,0,1,27,108,1531638
216280805,0,0,2,29,57,801419
216280805,0,0,1,25,80,1232758
216280805,0,0,2,33,45,656419
216280805,0,0,1,25,94,1410284
216280805,0,0,1,25,112,1418221
216280804,0,0,1,29,119,1600923
216280804,0,0,1,25,117,1471351
216280804,0,0,2,25,81,1108526
216280804,0,0,1,25,86,1285917
216280804,0,0,1,29,65,979461
216280804,0,0,2,37,66,1069295
216280804,0,0,1,25,72,920204
216280804,0,0,2,26,117,1709754
216280804,0,0,2,25,86,1677965
216280804,0,0,2,25,92,1510678
216280804,0,0,2,28,65,1074123
216280804,0,0,1,28,122,1728551
216280804,0,0,1,30,70,1165972
216280804,0,0,2,25,69,1016493
216280804,0,0,2,25,77,1072221
216280804,0,0,1,28,85,1193950
216280804,0,0,2,27,95,1380940
216280803,0,0,2,30,67,1269186
216280803,0,0,1,38,20,450986
216280803,0,0,1,25,83,1085668
216280803,0,0,1,25,85,1173071
216280803,0,0,1,25,68,901243
216280803,0,0,1,31,84,1062706
216280803,0,0,2,29,101,1463175
216280803,0,0,2,33,74,1086170
216280803,0,0,2,31,71,1207115
216280803,0,0,1,26,137,2640913
216280803,0,0,2,25,140,1992189
216280803,0,0,1,25,120,1635670
216280803,0,0,1,30,89,1092503
216280803,0,0,2,31,87,1090108
216280803,0,0,2,25,111,1663539
216280803,0,0,1,25,58,799352
216280802,0,0,1,28,111,1656794
216280802,0,0,2,25,80,1095334
216280802,0,0,2,25,113,1493744
216280802,0,0,1,25,76,977286
216280802,0,0,2,33,63,939577
216280802,0,0,2,31,70,1296804
216280802,0,0,1,28,112,1642364
216280802,0,0,2,27,88,1183910
216280802,0,0,2,29,113,1500641
216280802,0,0,1,25,103,1719359
216280802,0,0,1,25,90,1321953
216280802,0,0,1,32,69,1063893
216280802,0,0,2,25,96,1648860
216280801,0,0,2,25,138,2076437
216280801,0,0,2,25,77,1049813
216280801,0,0,2,25,66,1004807
216280801,0,0,2,38,42,668244
216280801,0,0,2,25,84,1352752
216280801,0,0,2,25,74,1414733
216280801,0,0,2,25,81,1362149
216280801,0,0,2,25,99,1522610
216280801,0,0,2,25,104,1596830
216280801,0,0,2,26,77,1178374
216280801,0,0,2,25,134,2161647
216280801,0,0,2,25,88,1276060
216280801,0,0,1,32,72,1004897
216280801,0,0,2,32,91,1326599
216280801,0,0,2,32,53,771948
216280801,0,0,1,25,80,1195644
216280801,0,0,2,25,72,1163003
216280800,0,0,2,28,73,998871
216280800,0,0,1,28,123,1736614
216280800,0,0,1,32,88,1572076
216280800,0,0,2,25,133,2001937
216280800,0,0,2,25,117,1818317
216280800,0,0,2,26,127,1939113
216280800,0,0,2,30,97,1506103
216280800,0,0,2,28,54,929838
216280800,0,0,2,28,103,1890550
216280800,0,0,1,28,96,1536105
216280800,0,0,1,27,105,1587482
216280800,0,0,2,25,109,1604864
216280800,0,0,2,25,116,1524647
216280800,0,0,2,29,83,1163444
216280800,0,0,2,25,65,1148857
216280800,0,0,2,25,120,1793811
216280735,0,0,2,25,119,1727813
216280735,0,0,2,25,72,1091688
216280735,0,0,2,33,46,685767
216280735,0,0,2,25,73,1021272
216280735,0,0,1,26,145,1945087
216280735,0,0,1,28,99,1614267
216280735,0,0,2,25,70,1038887
216280735,0,0,1,28,138,2248474
216280735,0,0,1,30,91,1252226
216280735,0,0,2,25,94,1350017
216280735,0,0,1,25,74,1046859
216280735,0,0,1,25,88,1363784
216280735,0,0,2,29,107,1638552
216280734,0,0,1,29,95,1345049
216280734,0,0,1,25,122,1866596
216280734,0,0,2,25,106,1691038
216280734,0,0,2,25,110,1667297
216280734,0,0,1,25,74,1258140
216280734,0,0,2,29,84,1474225
216280734,0,0,1,26,58,907886
216280734,0,0,2,25,123,1840787
216280734,0,0,1,29,96,1671819
216280734,0,0,1,25,120,1711142
216280734,0,0,2,25,92,1384310
216280734,0,0,1,25,106,1545168
216280733,0,0,1,29,80,1164618
216280733,0,0,2,25,76,1089321
216280733,0,0,2,25,66,960212
216280733,0,0,1,25,114,1831406
216280733,0,0,2,33,51,798059
216280733,0,0,2,29,82,1330942
216280733,0,0,1,25,88,1254130
216280733,0,0,2,25,85,1213022
216280733,0,0,1,33,69,973703
216280733,0,0,2,25,128,1903130
216280733,0,0,1,25,86,1219780
216280732,0,0,2,25,61,916694
216280732,0,0,2,31,81,1173450
216280732,0,0,2,25,62,1355531
216280732,0,0,2,32,88,1364284
216280732,0,0,1,31,84,1259507
216280732,0,0,1,30,75,1164052
216280732,0,0,2,25,73,1026595
216280732,0,0,2,25,93,1411843
216280732,0,0,2,25,97,1371436
216280732,0,0,1,25,56,957405
216280732,0,0,2,27,98,1722647
216280732,0,0,2,25,126,2000476
216280731,0,0,1,25,77,1228987
216280731,0,0,2,28,119,2059288
216280731,0,0,1,27,57,994548
216280731,0,0,1,27,134,1895273
216280731,0,0,2,25,94,1472224
216280731,0,0,1,26,93,1563112
216280731,0,0,2,25,115,1688443
216280731,0,0,1,25,67,1469243
216280731,0,0,1,25,92,1324143
216280731,0,0,2,25,107,1515481
216280731,0,0,2,25,92,1392558
216280730,0,0,2,25,88,1463055
216280730,0,0,2,25,79,1416223
216280730,0,0,2,27,88,1643662
216280730,0,0,2,25,96,1598902
216280730,0,0,1,25,131,2106655
216280730,0,0,1,25,108,1656532
216280730,0,0,2,25,72,1128117
216280730,0,0,2,25,85,1249843
216280730,0,0,2,26,58,1029968
216280730,0,0,2,28,105,1727477
216280730,0,0,1,25,77,1266083
216280730,0,0,2,25,82,1280002
216280729,0,0,2,30,122,2398976
216280729,0,0,2,30,81,1233387
216280729,0,0,1,25,72,1083837
216280729,0,0,2,25,78,1114659
216280729,0,0,1,25,113,1861505
216280729,0,0,2,25,80,1209974
216280729,0,0,2,25,116,1740869
216280729,0,0,1,25,60,1136736
216280729,0,0,1,25,64,1217871
216280729,0,0,1,25,86,1326766
216280729,0,0,1,26,101,1658121
216280729,0,0,1,25,99,1491220
216280728,0,0,2,25,89,1347520
216280728,0,0,2,25,110,1697188
216280728,0,0,1,27,115,1759602
216280728,0,0,1,26,78,1375688
216280728,0,0,1,25,117,1973847
216280728,0,0,2,25,85,1324960
216280728,0,0,2,30,85,1387017
216280728,0,0,1,25,112,1754679
216280728,0,0,2,29,105,1665546
216280728,0,0,2,25,96,1440420
216280728,0,0,2,30,120,1854844
216280728,0,0,2,26,96,1590792
216280727,0,0,2,38,18,497919
216280727,0,0,2,25,86,1481512
216280727,0,0,1,25,68,1207739
216280727,0,0,2,25,78,1275394
